"ID","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Complain","Response","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency"
5524,635,88,546,172,88,88,3,8,10,4,7,0,1,1957,"Graduation","Single",58138,0,0,"04/09/2012",58
2174,11,1,6,2,1,6,2,1,1,2,5,0,0,1954,"Graduation","Single",46344,1,1,"08/03/2014",38
4141,426,49,127,111,21,42,1,8,2,10,4,0,0,1965,"Graduation","Together",71613,0,0,"21/08/2013",26
6182,11,4,20,10,3,5,2,2,0,4,6,0,0,1984,"Graduation","Together",26646,1,0,"10/02/2014",26
5324,173,43,118,46,27,15,5,5,3,6,5,0,0,1981,"PhD","Married",58293,1,0,"19/01/2014",94
7446,520,42,98,0,42,14,2,6,4,10,6,0,0,1967,"Master","Together",62513,0,1,"09/09/2013",16
965,235,65,164,50,49,27,4,7,3,7,6,0,0,1971,"Graduation","Divorced",55635,0,1,"13/11/2012",34
6177,76,10,56,3,1,23,2,4,0,4,8,0,0,1985,"PhD","Married",33454,1,0,"08/05/2013",32
4855,14,0,24,3,3,2,1,3,0,2,9,0,1,1974,"PhD","Together",30351,1,0,"06/06/2013",19
5899,28,0,6,1,1,13,1,1,0,0,20,0,0,1950,"PhD","Together",5648,1,1,"13/03/2014",68
1994,5,5,6,0,2,1,1,1,0,2,7,0,0,1983,"Graduation","Married",NA,1,0,"15/11/2013",11
387,6,16,11,11,1,16,1,2,0,3,8,0,0,1976,"Basic","Married",7500,0,0,"13/11/2012",59
2125,194,61,480,225,112,30,1,3,4,8,2,0,0,1959,"Graduation","Divorced",63033,0,0,"15/11/2013",82
8180,233,2,53,3,5,14,3,6,1,5,6,0,0,1952,"Master","Divorced",59354,1,1,"15/11/2013",53
2569,3,14,17,6,1,5,1,1,0,3,8,0,0,1987,"Graduation","Married",17323,0,0,"10/10/2012",38
2114,1006,22,115,59,68,45,1,7,6,12,3,0,1,1946,"PhD","Single",82800,0,0,"24/11/2012",23
9736,53,5,19,2,13,4,3,3,0,3,8,0,0,1980,"Graduation","Married",41850,1,1,"24/12/2012",51
4939,84,5,38,150,12,28,2,4,1,6,7,0,0,1946,"Graduation","Together",37760,0,0,"31/08/2012",20
6565,1012,80,498,0,16,176,2,11,4,9,5,0,0,1949,"Master","Married",76995,0,1,"28/03/2013",91
2278,4,17,19,30,24,39,2,2,1,3,6,0,0,1985,"2n Cycle","Single",33812,1,0,"03/11/2012",86
9360,86,2,73,69,38,48,1,4,2,5,8,0,0,1982,"Graduation","Married",37040,0,0,"08/08/2012",41
5376,1,1,1725,1,1,1,15,0,28,0,1,0,0,1979,"Graduation","Married",2447,1,0,"06/01/2013",42
1993,867,0,86,0,0,19,3,2,3,9,8,0,0,1949,"PhD","Married",58607,0,1,"23/12/2012",63
4047,384,0,102,21,32,5,3,6,2,9,4,0,0,1954,"PhD","Married",65324,0,1,"11/01/2014",0
1409,270,3,27,39,6,99,7,7,1,5,8,0,0,1951,"Graduation","Together",40689,0,1,"18/03/2013",69
7892,6,4,25,15,12,13,2,2,1,3,7,0,0,1969,"Graduation","Single",18589,0,0,"02/01/2013",89
2404,173,4,30,3,6,41,4,5,1,4,7,0,0,1976,"Graduation","Married",53359,1,1,"27/05/2013",4
5255,5,1,3,3,263,362,0,27,0,0,1,0,0,1986,"Graduation","Single",NA,1,0,"20/02/2013",19
9422,36,2,42,20,21,10,2,2,1,4,3,0,0,1989,"Graduation","Married",38360,1,0,"31/05/2013",26
1966,684,100,801,21,66,0,1,6,9,10,2,0,0,1965,"PhD","Married",84618,0,0,"22/11/2013",96
6864,8,4,10,2,2,4,2,3,0,3,5,0,0,1989,"Master","Divorced",10979,0,0,"22/05/2014",34
3033,112,17,44,34,22,89,1,2,5,3,3,0,0,1963,"Master","Together",38620,0,0,"11/05/2013",56
5710,110,0,5,2,0,3,2,2,1,4,5,0,0,1970,"Graduation","Together",40548,0,1,"10/10/2012",31
7373,96,12,96,33,22,43,6,4,1,6,6,0,1,1952,"PhD","Divorced",46610,0,2,"29/10/2012",8
8755,482,34,471,119,68,22,1,3,5,9,7,0,0,1946,"Master","Married",68657,0,0,"20/02/2013",4
10738,40,0,19,2,1,3,1,2,0,3,7,0,0,1951,"Master","Single",49389,1,1,"29/08/2013",55
4339,702,17,151,0,8,35,5,5,6,12,2,0,0,1970,"PhD","Married",67353,0,1,"31/12/2013",37
10755,6,3,14,15,7,36,3,3,1,2,7,0,0,1976,"2n Cycle","Married",23718,1,0,"02/09/2013",76
8595,55,0,6,2,0,4,2,1,1,3,5,0,0,1973,"Graduation","Widow",42429,0,1,"11/02/2014",99
2968,437,8,206,160,49,42,2,7,10,5,6,0,1,1943,"PhD","Divorced",48948,0,0,"01/02/2013",53
8601,421,76,536,82,178,102,2,8,6,5,4,0,0,1980,"Graduation","Married",80011,0,1,"29/04/2013",3
503,13,1,29,3,0,7,2,2,0,3,8,0,0,1985,"Master","Married",20559,1,0,"12/03/2013",88
8430,9,0,6,3,1,3,1,0,0,3,5,0,0,1957,"Graduation","Together",21994,0,1,"24/12/2012",4
7281,81,11,50,3,2,39,1,1,3,4,2,0,0,1959,"PhD","Single",NA,0,0,"05/11/2013",80
2139,3,1,10,3,2,12,3,2,0,3,5,0,0,1975,"Master","Married",7500,1,0,"02/10/2013",19
1371,123,164,266,227,30,174,1,2,4,9,1,0,0,1976,"Graduation","Single",79941,0,0,"28/06/2014",72
9909,3,18,14,15,22,50,3,3,1,3,9,0,1,1996,"2n Cycle","Married",7500,0,0,"09/11/2012",24
7286,13,6,15,3,5,13,1,2,0,2,10,0,0,1968,"Graduation","Together",41728,1,0,"24/05/2013",92
7244,48,5,48,6,10,7,3,2,1,4,6,0,0,1951,"Graduation","Single",NA,2,1,"01/01/2014",96
6566,826,50,317,50,38,38,9,5,2,12,8,0,0,1954,"PhD","Married",72550,1,1,"08/11/2012",39
8614,245,19,125,37,67,14,1,4,2,10,2,0,0,1957,"Graduation","Widow",65486,0,1,"12/05/2014",29
4114,650,37,780,27,167,32,1,6,9,13,3,0,0,1964,"Master","Married",79143,0,0,"11/08/2012",2
1331,12,6,20,30,1,3,2,2,0,3,7,0,0,1977,"Graduation","Single",35790,1,0,"02/01/2013",54
2225,510,120,550,156,40,241,1,4,9,7,1,0,1,1977,"Graduation","Divorced",82582,0,0,"07/06/2014",54
9381,328,9,124,12,24,109,7,4,2,10,3,0,0,1978,"Graduation","Married",66373,1,1,"12/06/2013",57
6260,984,51,432,180,120,190,1,3,10,13,1,0,1,1955,"Master","Together",82384,0,0,"19/11/2012",55
10383,295,35,482,121,120,40,1,5,5,10,3,0,1,1966,"Graduation","Divorced",70287,0,0,"02/04/2013",30
7437,13,0,8,2,1,5,1,1,0,4,3,0,0,1988,"Graduation","Single",27938,1,0,"28/04/2014",31
8557,11,3,22,2,2,6,2,2,0,3,6,0,0,1982,"Graduation","Single",NA,1,0,"17/06/2013",57
8375,447,0,28,0,0,43,3,8,2,6,7,0,0,1968,"PhD","Married",55954,0,1,"03/03/2014",63
6853,712,26,538,69,13,80,1,3,6,11,1,0,1,1982,"Master","Single",75777,0,0,"04/07/2013",12
3076,452,18,102,16,18,6,4,4,2,12,3,0,0,1975,"Graduation","Together",66653,1,1,"07/09/2012",18
1012,523,7,134,37,14,169,4,8,2,10,7,0,0,1952,"Graduation","Single",61823,0,1,"18/02/2013",26
6518,546,0,48,0,6,6,1,7,3,8,5,0,0,1951,"PhD","Widow",67680,0,1,"11/06/2013",8
4137,398,40,367,119,122,30,1,7,4,4,4,0,0,1948,"Graduation","Together",70666,0,0,"06/12/2013",29
8082,1,3,6,3,6,15,1,1,1,2,7,0,1,1971,"Graduation","Married",25721,1,0,"21/05/2013",75
1386,10,0,1,0,0,0,1,1,0,2,7,0,0,1967,"Graduation","Together",32474,1,1,"11/05/2014",0
9369,688,14,309,201,24,38,1,11,10,10,5,0,1,1979,"2n Cycle","Single",88194,0,1,"19/03/2014",19
4477,247,49,159,7,82,109,1,5,2,10,4,0,0,1958,"Graduation","Together",69096,0,1,"27/09/2013",4
1357,856,59,487,58,29,73,7,2,5,5,5,0,0,1970,"Graduation","Together",74854,1,2,"08/04/2013",90
1402,496,36,460,189,60,12,3,4,8,6,3,0,0,1954,"Master","Married",66991,0,0,"11/09/2012",1
10629,25,3,43,17,4,17,3,3,0,3,8,0,0,1973,"2n Cycle","Married",NA,1,0,"14/09/2012",25
6312,258,107,291,84,37,86,4,10,3,13,7,0,0,1959,"Graduation","Married",65031,0,1,"17/03/2013",29
8132,565,6,65,0,6,19,5,9,2,8,7,0,0,1975,"PhD","Married",60631,1,1,"05/04/2013",88
1050,14,10,13,4,15,9,1,2,1,4,2,0,0,1952,"Graduation","Married",28332,0,0,"30/04/2014",58
5846,2,1,6,2,1,1,1,1,0,2,6,0,0,1977,"Graduation","Divorced",40246,1,0,"19/12/2012",68
1859,721,111,925,97,18,18,1,7,6,5,5,0,1,1972,"Master","Married",75251,0,0,"27/08/2012",34
7503,1032,105,779,137,105,51,0,5,8,9,4,0,1,1976,"Graduation","Single",75825,0,0,"12/10/2012",40
10401,1,0,5,0,3,9,1,0,0,3,3,1,0,1976,"2n Cycle","Together",26326,0,0,"04/09/2013",12
1618,577,0,64,0,0,51,2,10,1,8,8,0,1,1965,"Graduation","Together",56046,0,0,"02/01/2013",9
3332,64,4,68,7,5,17,4,3,1,4,8,0,0,1985,"Graduation","Single",29760,1,0,"29/08/2012",87
2261,4,1,5,2,0,4,1,1,0,2,7,0,0,1969,"Graduation","Married",26304,1,0,"23/06/2013",5
5346,25,5,19,7,0,23,3,3,0,3,7,0,0,1973,"2n Cycle","Married",23559,1,0,"03/07/2013",87
4119,112,17,44,34,22,89,1,2,5,3,3,0,0,1963,"Master","Together",38620,0,0,"11/05/2013",56
535,163,23,424,27,65,76,1,3,10,13,1,0,0,1987,"Graduation","Divorced",81361,0,0,"25/02/2014",18
5268,17,8,14,10,4,3,2,1,0,4,7,0,0,1960,"Graduation","Married",29440,1,1,"11/08/2013",95
273,130,0,16,0,0,5,5,3,1,4,7,0,0,1970,"Master","Married",36138,1,1,"16/07/2013",48
4452,292,6,37,0,3,34,4,6,1,6,7,0,1,1957,"Graduation","Single",50388,0,1,"28/05/2014",3
8504,350,60,568,110,133,145,1,5,6,7,2,0,0,1973,"Graduation","Married",79593,0,0,"12/05/2014",70
771,135,9,39,4,0,7,1,2,2,5,2,0,0,1967,"Graduation","Together",54178,0,1,"21/01/2014",79
8996,230,42,192,49,37,53,12,7,2,8,9,0,0,1957,"PhD","Married",NA,2,1,"19/11/2012",4
9235,7,0,8,2,0,1,1,1,0,2,7,0,0,1957,"Graduation","Single",NA,1,1,"27/05/2014",45
5798,445,37,359,98,28,18,1,2,4,8,1,0,0,1973,"Master","Together",NA,0,0,"23/11/2013",87
11178,15,2,10,0,1,4,1,1,0,3,7,0,0,1972,"Master","Single",42394,1,0,"23/03/2014",69
2230,27,2,14,0,0,0,3,3,1,3,5,0,0,1970,"PhD","Married",23626,1,0,"24/05/2014",84
7516,5,3,11,12,5,9,1,2,0,3,6,0,0,1983,"Graduation","Married",30096,1,0,"22/05/2014",30
7247,505,0,26,0,0,75,5,7,4,6,6,0,0,1960,"Graduation","Widow",47916,0,1,"22/11/2012",72
11100,51,2,7,0,1,2,2,2,0,3,7,0,0,1972,"Graduation","Divorced",51813,1,1,"11/04/2013",37
4646,207,26,447,75,0,223,1,5,7,12,2,0,0,1951,"2n Cycle","Married",78497,0,0,"01/12/2013",44
3037,135,46,92,65,61,11,2,5,2,7,5,0,0,1983,"PhD","Married",50150,0,0,"20/06/2013",32
1473,53,1,5,2,1,10,2,2,0,3,8,0,0,1960,"2n Cycle","Single",47823,0,1,"23/07/2013",0
1016,41,1,6,2,0,5,2,2,0,3,6,0,0,1959,"PhD","Single",34554,0,1,"30/03/2014",43
4518,386,172,183,185,132,111,2,9,5,11,5,0,0,1979,"Graduation","Together",85693,0,1,"20/04/2013",59
9370,562,81,276,80,40,81,1,6,3,6,4,0,0,1945,"PhD","Married",65846,0,0,"17/05/2013",68
8908,217,76,690,50,26,38,1,3,11,5,1,0,1,1959,"Graduation","Married",87195,0,0,"08/05/2014",35
8373,1,3,6,10,0,9,1,1,0,3,5,0,0,1979,"Basic","Together",24594,1,0,"10/12/2013",94
7533,144,1,32,2,1,7,4,4,1,4,7,0,0,1964,"Graduation","Married",49096,1,1,"24/09/2013",15
2683,295,106,271,75,98,65,4,6,4,12,6,0,0,1969,"Graduation","Married",52413,0,2,"02/02/2013",56
3629,76,3,31,4,4,27,2,3,1,3,7,0,0,1978,"Graduation","Single",38557,1,0,"19/12/2012",17
10991,454,194,106,31,22,43,1,5,4,4,2,0,0,1960,"Master","Married",89058,0,0,"07/12/2012",18
5077,425,115,292,23,35,79,1,6,6,11,3,0,0,1979,"Graduation","Together",77298,0,1,"02/11/2013",46
7431,1332,17,311,23,51,86,1,7,4,5,9,0,1,1991,"PhD","Single",68126,0,0,"10/11/2012",40
3267,527,0,21,0,0,60,3,8,1,8,6,0,0,1963,"Master","Together",57288,0,1,"25/06/2014",27
999,490,44,125,29,20,22,1,6,7,11,3,0,1,1991,"Graduation","Single",86037,0,0,"02/01/2013",95
9215,378,0,101,0,0,72,5,6,4,6,7,0,0,1980,"PhD","Married",43974,1,0,"12/12/2012",19
2286,64,1,21,0,1,27,2,2,1,3,6,0,0,1962,"Graduation","Single",50785,1,1,"10/09/2013",27
1592,547,99,812,151,82,33,0,4,6,5,1,0,0,1970,"Graduation","Married",90765,0,0,"24/01/2014",25
367,47,90,94,123,103,120,5,9,1,5,9,0,0,1978,"2n Cycle","Married",36550,1,0,"19/02/2013",74
5234,12,5,25,0,9,30,2,1,1,3,5,0,0,1967,"2n Cycle","Together",30753,1,1,"11/07/2013",85
9862,1,6,7,11,5,3,2,2,0,3,6,0,0,1969,"Graduation","Together",21918,1,0,"14/11/2013",37
9805,320,48,133,39,72,48,4,6,2,10,4,0,0,1953,"Master","Together",56129,0,1,"20/06/2013",65
6205,34,3,29,0,4,10,3,2,1,3,5,0,1,1967,"Master","Single",32557,1,0,"24/02/2014",13
8442,9,0,7,3,4,7,2,1,0,3,7,0,0,1985,"Master","Married",19510,2,0,"04/09/2013",63
7386,17,0,14,7,3,2,1,1,0,3,7,0,0,1976,"Graduation","Divorced",30992,1,0,"22/04/2013",83
7215,722,27,102,44,72,168,0,6,8,13,2,0,1,1983,"Graduation","Single",101970,0,0,"12/03/2013",69
1491,162,33,124,40,28,172,2,3,4,7,1,0,0,1965,"2n Cycle","Together",71488,0,0,"18/02/2013",87
11071,450,133,951,173,0,216,1,3,6,6,1,0,1,1984,"Graduation","Single",79607,0,0,"21/04/2013",37
